sampleid	Date	Latitude	Longitude	polygon	Sample	site_nr	site_name	utm_x	utm_y	bio_stratum	design_stratum	region	cluster	cluster_name	nat_biodiv_pct	precipitation_dmi	bare_soil_mean	moss_cover_mean	lichen_cover_mean	veg_height_mean	soil_class	airtemp_sd_all	soilm_trimmean_may	vpd_mean_day	surfacetemp_sd_all	light_sd_all	leaf_c_avg	leaf_n_avg	leaf_np_avg	leaf_p_avg	soil_n_avg	soil_p_avg	soil_c_avg	soil_ph_avg	sfi	smi	litter_mass	org_mat	canopy_high_perc	canopy_low_perc	cow_badv3	deer_badv3	hare_badv3	horse_badv3	sheep_badv3	dung_pa	dung_sum	treedensity_40dbh_dec	treedensity_40dbh_con	trees_40dbh_count	trees_40dbh_nospecies	deadwood_badv3	deadwood_vol_ha	flower_vol_sum	ellenberg_f	ellenberg_l	ellenberg_n	ellenberg_n_ph	ellenberg_r	spatcon_1000_pct	spatcon_2000_pct	spatcon_500_pct	spatcon_5000_pct	temp_con	plant_rich	plant_rich_rl	moss_rich	moss_rich_rl	lichen_rich	lichen_rich_rl	fungi_rich	fungi_rich_rl	collembol_rich	gastropod_rich	carabid_rich	carabid_rich_rl	apoidea_rich	apoidea_rich_rl	araneae_rich	araneae_rich_rl	syrphidae_rich	syrphidae_rich_rl	arthropod_rich_other	marker
SN086	2014-10-27	56.04417972096971	12.073399783078557	POLYGON((12.073607100000004 56.0439588,12.073800550072065 56.04430149283679,12.073187846343444 56.04440939587236,12.07299439999997 56.0440667,12.073607100000004 56.0439588))	SN086	86	Tisvilde Hegn	691428,45	6215259,4	LateDryPoor	Plantation	Zeal	SN	Nordsj�lland	100,00	708,60	40,00	25,00	0,00	0,88	Sand	4,15	20,42	0,50	5,65	2654,84	42,70	1,43	5,99	0,24	155,22	3,24	4827,70	4,43	3,59	5,21	829,48	23,75	23,05	2,77	0,00	0,14	0,00	0,00	0,00	1	0,14	0,00	0,03	10	2	0,07	0,14	0,00	5,55	5,45	3,47	0,98	3,56	63,33	41,67	66,67	15,00	3	26	0	23	0	13	2	96	2	16	5	5	0	1	0	29	0	4	0	57	ITS
SN087	2014-10-27	55.98725903484435	12.250859503099448	POLYGON((12.250416500000028 55.9873042,12.250781894593729 55.987008663707336,12.251309987766831 55.98721296596427,12.250944600000025 55.9875085,12.250416500000028 55.9873042))	SN087	87	Tibberup Holme	702774,4	6209432,3	LateDryPoor	Plantation	Zeal	SN	Nordsj�lland	31,59	773,00	47,50	1,75	0,00	6,38	Sand_clay	3,75	22,54	0,27	3,54	699,07	43,96	2,64	9,59	0,28	142,28	20,55	3696,10	4,24	3,91	5,41	618,76	0,00	17,05	2,75	0,00	0,00	0,00	0,00	0,00	0	0,00	0,08	0,00	0	0	0,09	0,00	35,99	5,83	4,41	4,74	0,91	5,21	9,33	8,00	23,33	5,67	3	33	0	15	0	11	2	114	1	12	21	11	0	0	0	28	0	2	0	62	ITS
SV088	2014-10-23	55.82659283162857	11.436229721534847	POLYGON((11.436245900000017 55.8263408,11.436682152791718 55.826603609311945,11.436218352554306 55.82684651105668,11.435782099999983 55.8265837,11.436245900000017 55.8263408))	SV088	88	Diesbjerg	652602,86	6189461,85	EarlyDryRich	EarlyDryRich	Zeal	SV	Vestsj�lland	43,21	669,60	3,25	3,75	0,50	9,06	Sand_clay	5,19	21,38	0,57	9,72	5284,42	45,13	2,35	15,19	0,16	399,91	48,70	6406,23	5,48	3,99	5,19	13,61	0,00	3,24	2,65	0,10	0,00	0,85	0,00	0,10	1	1,06	0,00	0,00	0	0	0,00	0,00	178,97	4,39	6,56	3,59	0,58	6,19	6,67	3,33	16,00	1,33	4	100	1	18	1	22	12	79	5	13	7	10	2	10	0	30	0	1	0	122	ITS
SV089	2014-10-23	55.736031058686095	11.283066623165531	POLYGON((11.283512200000018 55.7360228,11.283075089980912 55.73628499126917,11.282609383916224 55.736038893030454,11.283046499999955 55.7357767,11.283512200000018 55.7360228))	SV089	89	Eskebjerg Vesterlyng	643345,35	6179060,39	EarlyWetPoor	EarlyMoistPoor	Zeal	SV	Vestsj�lland	49,62	652,90	0,75	3,50	0,00	15,44	Sand	5,55	58,74	0,48	8,41	4352,43	44,82	1,96	12,53	0,16	194,95	21,45	5355,61	6,15	4,01	6,77	48,30	32,50	0,00	0,87	0,02	0,88	0,00	0,00	0,00	1	0,90	0,01	0,00	0	0	0,00	0,00	109,31	6,31	6,58	3,81	0,70	5,43	18,67	9,67	23,67	1,67	4	105	0	40	2	17	3	92	8	11	6	11	0	1	0	44	0	4	0	88	ITS
SV090	2014-10-23	55.72749540544416	11.275162386585237	POLYGON((11.275467599999956 55.7276813,11.27483052659909 55.72766107308033,11.274866426910307 55.72730247309079,11.275503500000013 55.7273227,11.275467599999956 55.7276813))	SV090	90	Eskebjerg Enghave	642880,93	6178095,34	EarlyWetPoor	EarlyWetPoor	Zeal	SV	Vestsj�lland	61,82	652,90	10,00	13,25	0,25	5,25	Sand	5,26	72,08	0,52	8,29	4965,73	46,35	1,99	14,86	0,14	5,67	29,07	361,62	5,18	2,42	7,34	76,08	9,38	0,00	0,00	0,24	0,00	0,27	0,00	0,00	1	0,51	0,00	0,00	0	0	0,00	0,00	114,34	7,18	5,82	2,18	0,63	3,48	5,67	2,00	13,33	0,37	3	33	0	13	0	11	3	47	1	4	2	13	4	5	0	28	0	4	0	73	ITS
SV091	2014-10-23	55.70521494203503	11.201681533364892	POLYGON((11.202122400000007 55.7051782,11.20174349309002 55.70546736210846,11.201230286488453 55.70525386424825,11.201609200000007 55.7049647,11.202122400000007 55.7051782))	SV091	91	Malles N�s	638344,24	6175468,45	EarlyWetRich	EarlyMoistRich	Zeal	SV	Vestsj�lland	99,65	617,60	0,00	13,75	0,00	8,13	Sand	4,99	63,72	0,56	8,27	3838,82	44,89	2,22	10,85	0,20	225,57	22,56	6635,31	5,82	4,52	6,93	4,82	63,75	0,00	0,00	0,05	0,00	0,01	0,00	0,00	1	0,06	0,00	0,00	0	0	0,00	0,00	40,15	6,09	6,91	3,70	0,62	6,00	9,67	7,33	23,33	2,33	3	63	1	20	0	4	1	52	4	12	7	4	0	1	0	29	0	1	0	64	ITS
SV092	2014-10-23	55.703681526752305	11.235800334135563	POLYGON((11.236243000000059 55.7036285,11.235894988168866 55.703930069835216,11.235359781353054 55.70373397216245,11.2357078 55.7034324,11.236243000000059 55.7036285))	SV092	92	Kaldred K�r	640495,14	6175364,01	EarlyWetRich	EarlyWetRich	Zeal	SV	Vestsj�lland	89,12	652,90	3,25	35,00	0,00	10,31	Sand	5,27	72,35	0,50	5,41	2964,11	44,09	2,12	13,31	0,16	153,75	13,93	3889,73	6,43	4,40	7,36	6,18	42,50	0,00	0,00	0,04	0,00	0,00	0,00	0,00	1	0,04	0,00	0,00	0	0	0,00	0,00	5,02	7,01	6,47	4,20	0,69	6,09	2,00	0,70	6,67	0,07	3	77	1	15	1	6	0	29	1	6	11	10	0	0	0	39	0	7	0	79	ITS
SV093	2014-10-23	55.8364748960882	11.423287769470909	POLYGON((11.423662199999967 55.8363327,11.423537457652174 55.83668512796937,11.42291035083963 55.83661513115859,11.423035099999993 55.8362627,11.423662199999967 55.8363327))	SV093	93	Skamleb�k	651753,42	6190535,86	EarlyDryPoor	MidDryPoor	Zeal	SV	Vestsj�lland	40,64	685,30	0,25	6,25	0,00	20,00	Sand_clay	7,80	16,00	0,83	8,92	2325,26	45,78	1,74	9,70	0,18	210,65	12,90	4750,25	4,50	3,05	4,99	284,98	11,25	0,00	1,42	0,00	0,02	0,00	0,00	0,00	1	0,02	0,00	0,00	0	0	0,00	0,00	7,94	4,74	6,61	2,98	0,65	4,55	8,67	2,67	33,33	0,07	3	35	0	9	0	8	0	54	0	7	5	4	0	0	0	30	0	3	0	68	ITS
SV094	2014-10-23	55.734727365952835	10.893529290301235	POLYGON((10.893082800000002 55.7347163,10.89356002716886 55.73447771434752,10.893966921992387 55.73473571569209,10.893489700000032 55.7349743,10.893082800000002 55.7347163))	SV094	94	R�sn�s Krat	618893,55	6178182,04	EarlyDryRich	MidDryRich	Zeal	SV	Vestsj�lland	21,42	599,60	9,00	0,50	0,00	16,50	Sand	4,66	25,66	0,48	7,81	2129,36	43,22	2,32	13,75	0,17	524,80	59,65	7537,64	6,68	4,24	5,27	54,59	0,00	4,60	2,72	0,02	0,00	0,00	0,00	0,00	1	0,02	0,20	0,00	0	0	0,11	0,00	30,11	4,69	5,78	4,93	0,73	6,79	2,33	1,00	5,67	0,07	4	114	2	11	0	21	5	116	9	11	8	10	2	11	0	27	4	1	0	89	ITS
SV095	2014-10-23	55.74078898866959	10.89732762248499	POLYGON((10.896909100000016 55.7408865,10.897146613053337 55.74055262048049,10.89773970594706 55.740686323336966,10.897502199999963 55.7410202,10.896909100000016 55.7408865))	SV095	95	R�sn�s	619111,64	6178860,67	Agricultural	Oldfield	Zeal	SV	Vestsj�lland	22,23	599,60	1,00	46,25	0,00	5,88	Clay	4,04	39,67	0,38	5,16	2460,25	43,23	2,83	5,26	0,57	246,94	106,10	582,26	6,33	5,94	5,87	2,44	0,00	0,00	0,00	0,12	0,00	0,16	0,00	0,00	1	0,28	0,00	0,00	0	0	0,00	0,00	166,85	4,90	6,36	5,05	0,81	6,21	36,67	9,67	53,33	2,67	1	40	0	11	0	13	1	28	0	18	1	9	0	4	0	21	0	6	0	73	ITS
