qseqid	NV001	NV002	NV003	NV004	NV005	NV006	NV007	NV008	NV009	NT010	NT011	NT012	NT013	NT014	NT015	NT016	NT017	NT018	NH019	NH020	NH021	NH022	NH023	NH024	NH025	NH026	VU027	VU028	VU029	VU030	VU031	VU032	VU033	VU034	VU035	VO036	VO037	VO038	VO039	VO040	VO041	VO042	VO043	VD044	VD045	VD046	VD047	VD048	VD049	VD050	VD051	VD052	EM053	EM054	EM055	EM056	EM057	EM058	EM059	EM060	EM061	ES062	ES063	ES064	ES065	ES066	ES067	ES068	ES069	ES070	EV071	EV072	EV073	EV074	EV075	EV076	EV077	EV078	SN079	SN080	SN081	SN082	SN083	SN084	SN085	SN086	SN087	SV088	SV089	SV090	SV091	SV092	SV093	SV094	SV095	SM096	SM097	SM098	SM099	SM100	SM101	SM102	SM103	SM104	FF105	FF106	FF107	FF108	FF109	FF110	FF111	FF112	FL113	FL114	FL115	FL116	FL117	FL118	FL119	FL120	FM121	FM122	FM123	FM124	FM125	FM126	FM127	FM128	FM129	FM130
f3d6776aee2825dc927ec1964a2f2c09592de8c6	316	0	0	0	18	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0	0	0	0	220	0	0	0	29	0	89	0	0	0	0	0	131	0	367	0	9	0	0	138	0	0	0	5	0	0	0	0	0	88	18	0	0	0	0	1303	0	0	0	0	0	0	0	0	0	0	0	25	0	0	10	0	0	0	828	0	168	0	0	0	4022	0	0	0	0	0	294	124	0	0	0	0	0	0	0	0	0	49	1393	3237	0	37	0	209	0	0	151	0	0	0	0	0	0	0	0	0	0	0
fe05dbaf9be1b8aef79ecc03c454cbacba3f345c	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	126	13	623	12	135	144	0	192	0	0	0	0	14	144	36	0	2	0	0	0	60	0	0	0	0	0	0	195	592	2031	2259	131	674	0	0	0	32	5314	0	17	164	0	10	0	0	0	0	0	0	0	85	19	1280	442	0	0	0	11137	223	13	0	0	497	436	0	0	0	0	106	9	0	0	0	0	0	0	0	550	574	353	44	92	239	0	0	0	244	9	178	0	0	6	0	0	0	174	0	1137	45	290	75	0	183	0	0	0	0	0	165	0	0	155
35126d90a82ed85aa674a6c3c2508938c62b155b	0	0	0	0	0	0	0	0	18189	0	0	99	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	709	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84b20b64ed622cdafb08ecda23795f03e15917d9	0	0	4	1054	0	471	27	0	0	0	0	0	10	0	0	334	0	0	0	0	0	0	730	0	186	0	0	0	568	0	58	64	0	0	0	0	109	71	0	294	0	0	0	25	0	0	0	0	0	0	1798	0	0	1068	0	0	0	0	0	1775	0	0	0	43	0	213	0	0	0	20	0	0	155	410	384	0	0	0	32	100	0	1389	0	0	417	0	0	119	705	0	113	295	0	9	256	0	0	0	0	276	30	95	360	763	0	517	212	0	0	0	0	8	0	0	2629	214	205	0	973	0	88	131	0	1387	3385	75	0	0	0	0
39efbae3f448393c8795c2ee920ab1041e947c37	59	602	116	262	114	540	486	491	0	98	0	18	488	0	5	902	160	93	0	54	144	21	579	132	1275	35	5	1436	2363	21	107	349	690	83	0	5025	1857	497	55	1077	319	0	17	88	2935	24	148	76	174	131	334	23	109	1019	559	435	132	688	719	657	192	12	24	1528	412	235	0	32	0	547	681	1472	276	2322	522	18	16	29	34	2037	77	993	4743	54	3198	52	35	3268	980	268	227	531	330	7306	1333	72	1137	183	8	1269	193	1858	227	236	237	2290	441	73	1358	62	77	37	328	41	352	376	548	562	4058	297	108	168	811	818	3354	1911	975	267	1855	5512
dda4a9f2b4689962c88e000fbe06b19c7b648d4a	0	1439	0	0	3	0	1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	866	0	0	0	0	0	217	0	0	0	0	56	1549	1234	0	0	149	0	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0	0	471	49	0	0	0	0	0	133	0	0	0	0	0	110	0	152	0	0	0	0	0	0	0	32	0	0	348	0	0	146	907	0	237	629	0	0	0	0	0	0	0	0	18	0	0	685	0	0	0	0	0	0	0	0	0	0	0	250	544	348	236	0	142	52	0	57	297	0	0	0	0	0
2b98305e308134ec52229d7ce560323e1c26a179	0	0	0	0	0	0	0	0	177	0	0	3827	91	0	48	0	1201	17	783	0	0	0	52	0	0	90	29	0	0	21	0	0	0	0	1227	0	0	178	193	0	0	9	0	136	0	5	50	0	9	2	0	78	0	0	59	281	0	0	4127	0	0	0	0	0	0	0	263	68	197	16	1270	32	0	0	0	44	44	1124	0	0	9	0	0	0	66	204	89	0	102	706	0	0	6	0	0	726	0	90	0	0	0	0	0	0	0	0	7	0	0	212	5	11	567	0	0	72	0	0	0	0	0	0	721	0	0	0	143	0	0	0
c6d3e4fa7302fa74a4c12cfc2a9f76b06044b40e	0	0	0	0	22	0	0	0	0	0	0	0	105	0	0	25	0	49	0	0	0	0	224	0	15	0	0	0	0	0	373	13	773	824	0	133	1107	0	0	34	0	0	231	0	0	85	4	3	159	0	199	0	7	0	0	0	0	0	215	3236	0	0	0	1243	0	253	0	0	0	215	0	0	0	0	0	0	0	0	0	58	7	530	0	0	17	0	23	307	295	0	0	0	0	0	0	0	0	0	5	1015	0	0	0	0	144	768	0	0	89	0	0	18	16	25	0	40	47	0	1341	0	0	0	0	0	0	0	0	0	0	0
b3e9599cb1ef165d0b5124fc1bbb03e0eb39a488	0	0	0	0	0	0	0	0	0	0	0	0	3383	0	0	0	0	0	0	0	0	9263	714	0	0	0	0	0	0	0	0	0	0	0	906	0	0	0	10585	0	0	0	0	840	0	3473	0	0	0	41199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	445	329	0	1038	0	0	0	0	0	0	0	0	0	0	0	0	5726	0	0	1657	0	0	0	0	0	0	0	0	0	0	0	0	28956	0	0	0	0	0	0	0	0	3260	0	29642	1395	1472	0	0	0	342	0	0	0	0	0	0	3	0	0	0	0	0	0	0
46a23274b546988769f2e28dc88bc15abdf5c619	0	89	0	2739	15	1126	229	0	0	0	0	0	0	0	49	10	0	0	7	0	148	0	0	322	2982	3	0	89	130	0	224	0	11	0	0	0	0	0	0	48	0	0	0	0	0	30	0	149	26	133	1101	10	0	9709	379	73	0	1883	36	364	0	0	0	0	0	33	0	0	0	2959	868	1089	0	0	15	10	0	0	0	0	0	156	0	0	18	0	9	53	0	0	180	171	0	1875	4432	51	475	5	0	0	7	3459	2569	0	288	0	922	0	0	0	0	0	0	0	17324	153	0	0	0	1104	743	0	0	0	0	98	302	0	879	53
